Word;phon;lemme;cgram;freqlemfilms2;freqfilms2;islem;nblettres;puorth;puphon;nbsyll;cgramortho
faire;fER;faire;VER;8813,48;2735,96;1;5;5;3;1;VER
était;etE;être;VER;32236,5;2356,65;0;5;0;3;2;AUX,VER
comme;kOm;comme;CON;2326,08;2326,08;1;5;5;3;1;ADV,CON
cette;sEt;cette;ADJ:dem;1902,27;1902,27;1;5;4;3;1;ADJ:dem
votre;vOtR;votre;ADJ:pos;1894,09;1894,09;1;5;4;4;1;ADJ:pos,PRO:pos
quand;k@;quand;CON;1827,92;1827,92;1;5;5;2;1;ADV,CON
alors;alOR;alors;ADV;1777,65;1777,65;1;5;4;4;2;ADV
allez;ale;aller;VER;9992,77;1414,85;0;5;0;3;2;NOM,VER
aussi;osi;aussi;ADV;1402,33;1402,33;1;5;5;3;2;ADV
jamais;ZamE;jamais;ADV;1360,22;1360,22;1;6;6;4;2;ADV
pourquoi;puRkwa;pourquoi;ADV;1348,04;1348,04;1;8;5;4;2;ADV,CON,NOM
chose;Soz;chose;NOM;1773,62;1321,79;1;5;5;3;1;NOM
encore;@kOR;encore;ADV;1176,94;1176,94;1;6;6;4;2;ADV
toujours;tuZuR;toujours;ADV;1072,36;1072,36;1;8;4;3;2;ADV
temps;t@;temps;NOM;1031,05;1031,05;1;5;5;2;1;NOM
notre;nOtR;notre;ADJ:pos;1022,94;1022,94;1;5;5;4;1;ADJ:pos,PRO:pos
vraiment;vREm@;vraiment;ADV;968,57;968,57;1;8;5;4;2;ADV
viens;vj5;venir;VER;2763,82;944,81;0;5;0;0;1;VER
merci;mERsi;merci;ONO;936,01;936,01;1;5;5;5;2;NOM,ONO
comment;kom@;comment;ADV;922,93;922,93;1;7;7;4;2;ADV,CON,NOM,ONO
crois;kRwa;croire;VER;1711,99;904,45;0;5;0;4;1;VER
quelque;kElk;quelque;ADJ:ind;884,61;884,61;1;7;7;4;1;ADJ:ind,ADV
monde;m§d;monde;NOM;830,72;823,62;1;5;5;3;1;NOM
aller;ale;aller;VER;9992,77;816,76;1;5;5;3;2;NOM,VER
femme;fam;femme;NOM;1049,32;806,57;1;5;5;3;1;NOM
homme;Om;homme;NOM;1123,55;781,11;1;5;5;2;1;NOM
accord;akOR;accord;NOM;766,2;761,77;1;6;6;4;2;NOM
besoin;b°zw5;besoin;NOM;771,24;758,04;1;6;5;4;2;NOM
parler;paRle;parler;VER;1970,55;728,02;1;6;6;5;2;ADJ,NOM,VER
voilà;vwala;voilà;PRE;726,44;726,44;1;5;5;5;2;PRE
avoir;avwaR;avoir;AUX;18559,22;674,24;1;5;5;5;2;AUX,NOM,VER
autre;otR;autre;ADJ;786,09;668,48;1;5;5;3;1;ADJ,ADV,NOM,PRO:ind
pourquoi;puRkwa;pourquoi;CON;655,75;655,75;1;8;5;4;2;ADV,CON,NOM
juste;Zyst;juste;ADJ;656,86;653,49;1;5;5;4;1;ADJ,ADV,NOM
mieux;mj2;mieux;ADV;651,73;651,73;1;5;5;3;1;ADV,NOM
étais;etE;être;VER;32236,5;649,35;0;5;0;3;2;NOM,AUX,VER
fille;fij;fille;NOM;841,56;627,59;1;5;5;3;1;NOM
beaucoup;boku;beaucoup;ADV;626;626;1;8;6;4;2;ADV
regarde;R°gaRd;regarder;VER;1197,29;613,45;0;7;0;0;2;VER
avait;avE;avoir;VER;13572,4;596,64;0;5;0;0;2;AUX,VER
après;apRE;après;PRE;593,92;593,92;1;5;5;4;2;ADV,PRE
monsieur;m°sj2;monsieur;NOM;739,12;583,45;1;8;6;3;2;NOM
bonne;bOn;bon;ADJ;1554,44;578,93;0;5;5;3;1;ADJ,NOM
comme;kOm;comme;ADV;577,64;577,64;1;5;5;3;1;ADV,CON
personne;pERsOn;personne;PRO:ind;577,6;577,6;1;8;8;5;2;ADJ,NOM,PRO:ind
petit;p°ti;petit;ADJ;1106,8;573,72;1;5;5;4;2;ADJ,ADV,NOM
maison;mEz§;maison;NOM;605,75;570,3;1;6;6;4;2;NOM
bonjour;b§ZuR;bonjour;NOM;570,57;569,88;1;7;4;3;2;NOM
comment;kom@;comment;CON;558,33;558,33;1;7;7;4;2;ADV,CON,NOM,ONO
voulez;vule;vouloir;VER;5249,3;553,4;0;6;0;0;2;VER
faites;fEt;faire;VER;8813,48;541,8;0;6;0;3;1;VER,ADJ
maman;mam@;maman;NOM;540,21;537,44;1;5;5;4;2;NOM
ouais;wE;ouais;ADV;533,02;533,02;1;5;5;2;1;ADV
avant;av@;avant;PRE;529,51;529,51;1;5;5;3;2;ADJ,ADV,NOM,PRE
arrive;aRiv;arriver;VER;1252,42;525,1;0;6;0;0;2;VER
passe;pas;passer;VER;1495,49;523,58;0;5;5;3;1;NOM,VER
pense;p@s;penser;VER;1485,47;517,64;0;5;0;3;1;VER
argent;aRZ@;argent;NOM;515,1;515,04;1;6;6;4;2;ADJ,NOM
quelle;kEl;quelle;ADJ:int;512,55;512,55;1;6;6;3;1;ADJ:int
allons;al§;aller;VER;9992,77;500,21;0;6;0;3;2;VER
plaît;plE;plaire;VER;607,21;499,91;0;5;0;3;1;VER
appelle;apEl;appeler;VER;1165,48;485,77;0;7;0;4;2;VER
depuis;d°p8i;depuis;PRE;483,95;483,95;1;6;3;3;2;ADV,PRE
laisse;lEs;laisser;VER;1334,1;479,63;0;6;6;3;1;NOM,VER
moins;mw5;moins;ADV;478,75;478,75;1;5;5;3;1;ADV,NOM
attends;at@;attendre;VER;1351,46;478,32;0;7;0;0;2;VER
autre;otR;autre;PRO:ind;473,33;473,33;1;5;5;3;1;ADJ,ADV,NOM,PRO:ind
prendre;pR@dR;prendre;VER;1913,83;465,77;1;7;5;4;1;VER
arrête;aREt;arrêter;VER;993,79;456,59;0;6;0;4;2;VER
choses;Soz;chose;NOM;1773,62;451,83;0;6;6;3;1;NOM,VER
parle;paRl;parler;VER;1970,55;451,68;0;5;0;0;1;VER
amour;amuR;amour;NOM;458,27;450,46;1;5;5;4;2;NOM
enfants;@f@;enfant;NOM;735,59;448,33;0;7;0;3;2;NOM
toute;tut;tout;ADJ;2948,75;441,79;0;5;5;3;1;ADJ,ADJ:ind,PRO:ind
prends;pR@;prendre;VER;1913,83;431,5;0;6;0;0;1;VER
jours;ZuR;jour;NOM;1061,92;426,7;0;5;0;3;1;NOM
demain;d°m5;demain;ADV;425,85;425,85;1;6;5;4;2;ADJ,ADV,NOM
raison;REz§;raison;NOM;467,94;424,28;1;6;6;4;2;NOM
savoir;savwaR;savoir;VER;4516,71;421,1;1;6;6;6;2;NOM,VER
elles;El;elles;PRO:per;420,51;420,51;1;5;5;2;1;PRO:per
connais;konE;connaître;VER;961,03;415,87;0;7;7;4;2;VER
voulais;vulE;vouloir;VER;5249,3;415,76;0;7;0;0;2;VER
heure;9R;heure;NOM;709,79;415,4;1;5;5;2;1;NOM
avais;avE;avoir;AUX;18559,22;412,04;0;5;0;0;2;AUX,VER
savez;save;savoir;VER;4516,71;407,94;0;5;0;0;2;VER
assez;ase;assez;ADV;407,75;407,75;1;5;5;3;2;ADV
avoir;avwaR;avoir;VER;13572,4;404,19;1;5;5;5;2;AUX,NOM,VER
moment;mom@;moment;NOM;433,59;403,25;1;6;6;4;2;NOM
donne;dOn;donner;VER;1209,67;401,06;0;5;5;3;1;NOM,VER
avait;avE;avoir;AUX;18559,22;395,71;0;5;0;0;2;AUX,VER
problème;pRoblEm;problème;NOM;520,07;391,2;1;8;6;6;2;NOM
combien;k§bj5;combien;ADV;390,58;390,58;1;7;7;5;2;ADV
voiture;vwatyR;voiture;NOM;429,4;388,87;1;7;7;6;2;NOM,VER
partir;paRtiR;partir;VER;1111,97;388,25;1;6;6;6;2;VER
trois;tRwa;trois;ADJ:num;380,8;380,8;1;5;5;4;1;ADJ:num
merci;mERsi;merci;NOM;379,38;378,44;1;5;5;5;2;NOM,ONO
avais;avE;avoir;VER;13572,4;373,32;0;5;0;0;2;AUX,VER
entre;@tR;entre;PRE;372,72;372,72;1;5;5;3;1;PRE,VER
travail;tRavaj;travail;NOM;389,83;367,43;1;7;7;6;2;NOM
venir;v°niR;venir;VER;2763,82;367,13;1;5;5;5;2;VER
aider;ede;aider;VER;688,71;362,77;1;5;5;3;2;VER
toutes;tut;tout;ADJ;2948,75;358,34;0;6;6;3;1;ADJ,ADJ:ind,PRO:ind
famille;famij;famille;NOM;384,92;357,75;1;7;6;5;2;NOM
petite;p°tit;petit;ADJ;1106,8;355,66;0;6;0;0;2;ADJ,NOM
aurais;oRE;avoir;AUX;18559,22;354,36;0;6;0;3;2;AUX,VER
pouvez;puve;pouvoir;VER;5524,47;353,43;0;6;0;0;2;VER
vient;vj5;venir;VER;2763,82;352,24;0;5;0;0;1;VER
était;etE;être;AUX;8074,24;350,91;0;5;0;3;2;AUX,VER
seule;s9l;seul;ADJ;891,45;349,74;0;5;0;3;1;ADJ,NOM
passer;pase;passer;VER;1495,49;345,68;1;6;6;4;2;VER
hommes;Om;homme;NOM;1123,55;342,44;0;6;0;2;1;NOM
chercher;SERSe;chercher;VER;712,46;341,01;1;8;8;5;2;VER
trouvé;tRuve;trouver;VER;1335,49;339,29;0;6;6;5;2;VER,ADJ
grand;gR@;grand;ADJ;638,72;338,27;1;5;5;3;1;ADJ,ADV,NOM
quelques;kElk;quelques;ADJ:ind;337,35;337,35;1;8;8;4;1;ADJ:ind
chance;S@s;chance;NOM;360,6;334,02;1;6;6;3;1;NOM
trouver;tRuve;trouver;VER;1335,49;324,94;1;7;7;5;2;VER
reste;REst;rester;VER;1003,56;320,44;0;5;5;4;1;NOM,VER
contre;k§tR;contre;PRE;313,71;313,71;1;6;6;4;1;NOM,PRE,VER
pourrait;puRE;pouvoir;VER;5524,47;313,54;0;8;0;0;2;VER
pendant;p@d@;pendant;PRE;312,62;312,62;1;7;6;4;2;ADJ,NOM,PRE,VER
dites;dit;dire;VER;5946,15;311,69;0;5;0;0;1;VER,ADJ
frère;fRER;frère;NOM;390,39;311,45;1;5;3;4;1;NOM
serait;s°RE;être;VER;32236,5;311,37;0;6;0;0;2;AUX,VER
rester;REste;rester;VER;1003,56;310,38;1;6;6;5;2;VER
venez;v°ne;venir;VER;2763,82;304,03;0;5;0;0;2;VER
passé;pase;passer;VER;1495,49;297,63;0;5;5;4;2;VER,ADJ,ADV,NOM
histoire;istwaR;histoire;NOM;359,92;295,32;1;8;6;4;2;NOM
heures;9R;heure;NOM;709,79;294,39;0;6;0;2;1;NOM
sommes;sOm;être;VER;32236,5;293,82;0;6;0;3;1;NOM,VER,AUX
question;kEstj§;question;NOM;411,82;293,63;1;8;8;6;2;NOM
avons;av§;avoir;AUX;18559,22;291,71;0;5;0;0;2;AUX,VER
demande;d°m@d;demander;VER;909,77;289,34;0;7;7;5;2;NOM,VER
porte;pORt;porte;NOM;333,85;288,39;1;5;5;4;1;NOM,VER
putain;pyt5;putain;NOM;306,74;287,83;1;6;5;4;2;NOM
enfant;@f@;enfant;NOM;735,59;287,26;1;6;6;3;2;NOM
sortir;sORtiR;sortir;VER;884,26;285,45;1;6;6;6;2;NOM,VER
trouve;tRuv;trouver;VER;1335,49;284,45;0;6;0;0;1;VER
belle;bEl;beau;ADJ;671,86;284,08;0;5;0;3;1;ADJ,NOM
aurait;oRE;avoir;AUX;18559,22;282,17;0;6;0;3;2;AUX,VER
place;plas;place;NOM;301,3;280,54;1;5;5;4;1;NOM,VER
ville;vil;ville;NOM;295,14;277,98;1;5;5;3;1;NOM
voici;vwasi;voici;PRE;277,59;277,59;1;5;4;4;2;PRE
salut;saly;salut;NOM;277,42;277,35;1;5;5;4;2;NOM,ONO
terre;tER;terre;NOM;294,45;276,29;1;5;5;3;1;NOM,VER
police;polis;police;NOM;276,21;274,31;1;6;6;5;2;NOM,VER
suite;s8it;suite;NOM;275,9;274,18;1;5;5;4;1;NOM
mettre;mEtR;mettre;VER;1004,83;271,05;1;6;5;4;1;VER
enfin;@f5;enfin;ADV;265,83;265,83;1;5;5;3;2;ADV
laissez;lEse;laisser;VER;1334,1;265,61;0;7;0;0;2;VER
matin;mat5;matin;NOM;275,01;265,03;1;5;5;4;2;NOM
chambre;S@bR;chambre;NOM;288,64;263,93;1;7;7;4;1;NOM,VER
là-bas;laba;là-bas;ADV;263,15;263,15;1;6;4;4;2;ADV
revoir;R°vwaR;revoir;NOM;262,05;262,05;1;6;6;6;2;NOM,VER
regardez;R°gaRde;regarder;VER;1197,29;261,81;0;8;0;7;3;VER
entendu;@t@dy;entendre;VER;728,67;256,43;0;7;7;5;3;VER,ADJ
ensemble;@s@bl;ensemble;ADV;253,47;253,47;1;8;6;4;2;ADV,NOM
juste;Zyst;juste;ADV;252,71;252,71;1;5;5;4;1;ADJ,ADV,NOM
importe;5pORt;importer;VER;259,37;251,39;0;7;0;0;2;VER
corps;kOR;corps;NOM;250,15;250,15;1;5;5;3;1;NOM
celui;s°l8i;celui;PRO:dem;250,13;250,13;1;5;5;5;2;PRO:dem
autres;otR;autres;PRO:ind;249,7;249,7;1;6;6;3;1;ADJ,NOM,ADJ:num,ADV,PRO:ind
madame;madam;madame;NOM;307,36;249,32;1;6;5;5;2;NOM
parlé;paRle;parler;VER;1970,55;248,94;0;5;5;5;2;VER,ADJ
pourrais;puRE;pouvoir;VER;5524,47;247,9;0;8;0;0;2;VER
chaque;Sak;chaque;ADJ:ind;246,29;246,29;1;6;4;3;1;ADJ:ind
train;tR5;train;NOM;255,28;244,4;1;5;5;3;1;NOM
leurs;l9R;leurs;ADJ:pos;243,56;243,56;1;5;5;3;1;ADJ:pos,PRO:pos
laisser;lese;laisser;VER;1334,1;243,13;1;7;7;4;2;VER
femmes;fam;femme;NOM;1049,32;242,75;0;6;0;3;1;NOM
avons;av§;avoir;VER;13572,4;237,78;0;5;0;0;2;AUX,VER
savais;savE;savoir;VER;4516,71;236,66;0;6;0;0;2;VER
devrais;d°vRE;devoir;VER;3232,57;235,63;0;7;0;0;2;VER
jeune;Z9n;jeune;ADJ;297,01;234,9;1;5;5;3;1;ADJ,NOM
mourir;muRiR;mourir;VER;916,4;234,74;1;6;6;4;2;VER
donné;done;donner;VER;1209,67;234,66;0;5;5;4;2;VER,ADJ,NOM
donner;done;donner;VER;1209,67;233,3;1;6;6;4;2;NOM,VER
attendez;at@de;attendre;VER;1351,46;230,66;0;8;0;0;3;VER
excusez;Ekskyze;excuser;VER;399,19;230,25;0;7;0;7;3;VER
aimerais;Em°RE;aimer;VER;1655,07;227,66;0;8;0;0;3;VER
jouer;Zwe;jouer;VER;570,12;225,84;1;5;5;3;1;VER
coeur;k9R;coeur;NOM;239,97;224,98;1;5;5;3;1;NOM
dernière;dERnjER;dernier;ADJ;431,08;224,41;0;8;0;0;2;ADJ,NOM
avant;av@;avant;ADV;224,38;224,38;1;5;5;3;2;ADJ,ADV,NOM,PRE
docteur;dOkt9R;docteur;NOM;233,86;223,48;1;7;6;5;2;NOM
merde;mERd;merde;ONO;221,46;221,46;1;5;5;4;1;NOM,ONO,VER
genre;Z@R;genre;NOM;221,51;219,66;1;5;5;3;1;NOM
vivre;vivR;vivre;VER;510,19;218,52;1;5;5;4;1;NOM,VER
perdu;pERdy;perdre;VER;546,08;217,23;0;5;5;5;2;VER,ADJ,NOM
écoute;ekut;écouter;VER;470,93;214,67;0;6;6;4;2;NOM,VER
filles;fij;fille;NOM;841,56;213,97;0;6;0;3;1;NOM
cause;koz;cause;NOM;218,6;213,51;1;5;5;3;1;NOM,VER
tiens;tj5;tiens;ONO;212,99;212,99;1;5;5;3;1;VER,NOM,ADJ:pos,ONO,PRO:pos
mains;m5;main;NOM;499,6;212,97;0;5;0;2;1;NOM
demandé;d°m@de;demander;VER;909,77;212,89;0;7;0;6;3;VER
guerre;gER;guerre;NOM;221,65;212,82;1;6;6;3;1;NOM
façon;fas§;façon;NOM;230,48;212,6;1;5;5;4;2;NOM
envie;@vi;envie;NOM;213,96;210,62;1;5;5;3;2;NOM,VER
plutôt;plyto;plutôt;ADV;210,4;210,4;1;6;5;5;2;ADV
espère;EspER;espérer;VER;301,08;209,19;0;6;0;0;2;VER
pardon;paRd§;pardon;ONO;209,13;209,13;1;6;6;5;2;NOM,ONO
devrait;d°vRE;devoir;VER;3232,57;208,85;0;7;0;0;2;VER
devant;d°v@;devant;PRE;208,19;208,19;1;6;6;4;2;ADV,NOM,PRE,VER
ainsi;5si;ainsi;ADV;207,68;207,68;1;5;5;3;2;ADV
manger;m@Ze;manger;VER;467,82;207,63;1;6;6;4;2;NOM,VER
affaire;afER;affaire;NOM;393,83;207,5;1;7;7;4;2;NOM,VER
aucune;okyn;aucune;ADJ:ind;207;207;1;6;6;4;2;ADJ:ind,PRO:ind
merde;mERd;merde;NOM;213,05;206,68;1;5;5;4;1;NOM,ONO,VER
reste;REst;reste;NOM;214,54;203,1;1;5;5;4;1;NOM,VER
salut;saly;salut;ONO;203,1;203,1;1;5;5;4;2;NOM,ONO
arrivé;aRive;arriver;VER;1252,42;203,06;0;6;6;5;3;VER,ADJ,NOM
pensais;p@sE;penser;VER;1485,47;199,51;0;7;0;0;2;VER
boulot;bulo;boulot;NOM;202,97;198,68;1;6;6;4;2;ADJ,NOM
souviens;suvj5;souvenir;VER;315,05;198,3;0;8;0;0;2;VER
grande;gR@d;grand;ADJ;638,72;198,25;0;6;0;0;1;ADJ,NOM
compris;k§pRi;comprendre;VER;893,51;198,16;0;7;7;5;2;VER,ADJ
minutes;minyt;minute;NOM;342,28;197,45;0;7;0;5;2;NOM,VER
première;pR2mjER;premier;ADJ;376,98;197,34;0;8;0;0;2;ADJ,NOM
étaient;etE;être;VER;32236,5;197,09;0;7;0;3;2;AUX,VER
école;ekOl;école;NOM;206,88;197,04;1;5;5;4;2;NOM
endroit;@dRwa;endroit;NOM;218,24;196,75;1;7;4;4;2;NOM
voudrais;vudRE;vouloir;VER;5249,3;194,56;0;8;0;0;2;VER
possible;posibl;possible;ADJ;201,41;193,91;1;8;8;6;2;ADJ,NOM
après;apRE;après;ADV;193,68;193,68;1;5;5;4;2;ADV,PRE
désolé;dezole;désolé;ADJ;276,66;193,51;1;6;6;6;3;VER,ADJ
peine;pEn;peine;NOM;199,75;193,42;1;5;5;3;1;NOM,VER
croire;kRwaR;croire;VER;1711,99;193,37;1;6;5;5;1;VER
désolé;dezole;désoler;VER;297,27;193,29;0;6;6;6;3;VER,ADJ
appeler;ap°le;appeler;VER;1165,48;192,69;1;7;7;5;3;VER
voulait;vulE;vouloir;VER;5249,3;192,15;0;7;0;0;2;VER
voyez;vwaje;voir;VER;4119,43;191,63;0;5;0;5;2;VER
personne;pERsOn;personne;NOM;296,74;190,95;1;8;8;5;2;ADJ,NOM,PRO:ind
dirait;diRE;dire;VER;5946,15;190,63;0;6;0;0;2;VER
vérité;veRite;vérité;NOM;193,24;190,21;1;6;6;6;3;NOM
demander;d°m@de;demander;VER;909,77;188,86;1;8;8;6;3;VER
garçon;gaRs§;garçon;NOM;251,51;188,41;1;6;6;5;2;NOM
suffit;syfi;suffire;VER;232,08;188,1;0;6;0;0;2;VER
penses;p@s;penser;VER;1485,47;186,9;0;6;0;3;1;VER
point;pw5;point;NOM;225,32;186,7;1;5;5;3;1;VER,ADV,NOM
années;ane;année;NOM;316,25;186,61;0;6;0;3;2;NOM
affaires;afER;affaire;NOM;393,83;186,32;0;8;0;4;2;NOM,VER
semaine;s°mEn;semaine;NOM;290,85;186,01;1;7;7;5;2;NOM
étais;etE;être;AUX;8074,24;184,97;0;5;0;3;2;NOM,AUX,VER
bientôt;bj5to;bientôt;ADV;184,96;184,96;1;7;5;4;2;ADV
arriver;aRive;arriver;VER;1252,42;182,88;1;7;6;5;3;VER
instant;5st@;instant;NOM;189,41;182,14;1;7;7;4;2;ADJ,NOM
presque;pREsk;presque;ADV;181,81;181,81;1;7;7;5;1;ADV
dehors;d2OR;dehors;ADV;180,79;180,79;1;6;3;3;2;ADV,NOM,ONO
tomber;t§be;tomber;VER;407,82;180,25;1;6;6;4;2;VER
vieux;vj2;vieux;ADJ;282,2;180,08;1;5;5;3;1;ADJ,NOM
prend;pR@;prendre;VER;1913,83;179,02;0;5;0;0;1;VER
arrêter;aRete;arrêter;VER;993,79;178,62;1;7;7;5;3;VER
partie;paRti;partie;NOM;191,19;177,81;1;6;6;5;2;NOM,VER
attendre;at@dR;attendre;VER;1351,46;177,44;1;8;8;5;2;VER
plaisir;pleziR;plaisir;NOM;186,37;177,4;1;7;6;5;2;NOM
parents;paR@;parent;NOM;188,38;177,04;0;7;0;4;2;ADJ,NOM
aucun;ok1;aucun;ADJ:ind;175,78;175,78;1;5;5;3;2;ADJ:ind,PRO:ind
droit;dRwa;droit;NOM;207,62;175,6;1;5;5;4;1;ADJ,ADV,NOM
d'abord;dabOR;d'abord;ADV;175,45;175,45;1;7;4;4;2;ADV
prenez;pR°ne;prendre;VER;1913,83;175,12;0;6;0;0;2;VER
arrêtez;aREte;arrêter;VER;993,79;174,12;0;7;0;0;3;VER
attend;at@;attendre;VER;1351,46;173,86;0;6;0;0;2;VER
aimes;Em;aimer;VER;1655,07;170,38;0;5;0;2;1;VER
nouveau;nuvo;nouveau;ADJ;209,45;170,28;1;7;7;4;2;ADJ,NOM
musique;myzik;musique;NOM;169,8;168,89;1;7;7;5;2;NOM,VER
essaie;EsE;essayer;VER;670,4;168,04;0;6;0;0;2;VER
comment;kom@;comment;ONO;167,22;167,22;1;7;7;4;2;ADV,CON,NOM,ONO
rentrer;R@tRe;rentrer;VER;532,51;166,36;1;7;7;5;2;VER
journée;ZuRne;journée;NOM;174,89;165,35;1;7;6;5;2;NOM
sinon;sin§;sinon;CON;164,85;164,85;1;5;5;4;2;ADV,CON
entends;@t@;entendre;VER;728,67;163,49;0;7;0;3;2;VER
faute;fot;faute;NOM;169,26;163,19;1;5;5;3;1;NOM,VER
reviens;R°vj5;revenir;VER;618,62;163,19;0;7;0;4;2;VER
parti;paRti;partir;VER;1111,97;162,93;0;5;5;5;2;ADJ,NOM,VER
croyais;kRwajE;croire;VER;1711,99;162,56;0;7;0;0;2;VER
numéro;nymeRo;numéro;NOM;173,48;162,08;1;6;6;6;3;NOM
bonsoir;b§swaR;bonsoir;NOM;161,17;161,16;1;7;5;3;2;NOM
dormir;dORmiR;dormir;VER;392,09;160,77;1;6;6;6;2;VER
entrer;@tRe;entrer;VER;450,11;160,13;1;6;6;4;2;VER
chien;Sj5;chien;NOM;223,53;158,77;1;5;5;3;1;NOM
mariage;maRjaZ;mariage;NOM;167,39;158,58;1;7;6;6;2;NOM
bureau;byRo;bureau;NOM;167,13;156,68;1;6;6;4;2;NOM
service;sERvis;service;NOM;187,67;156;1;7;6;6;2;NOM
heureux;2R2;heureux;ADJ;248,45;155,8;1;7;7;3;2;ADJ,NOM
soeur;s9R;soeur;NOM;184,99;155,22;1;5;5;3;1;NOM
super;sypER;super;ADJ;154,83;154,83;1;5;5;5;2;ADJ,NOM
marche;maRS;marcher;VER;364,37;154,71;0;6;6;4;1;NOM,VER
verre;vER;verre;NOM;176,57;154,13;1;5;5;3;1;NOM
oublié;ublije;oublier;VER;486,96;154,09;0;6;6;6;3;VER,ADJ
facile;fasil;facile;ADJ;159,35;153,57;1;6;6;5;2;ADJ
parfois;paRfwa;parfois;ADV;152,86;152,86;1;7;5;5;2;ADV
route;Rut;route;NOM;166,72;152,83;1;5;5;3;1;NOM
nouvelle;nuvEl;nouvelle;ADJ;191,15;152,78;1;8;8;5;2;NOM,ADJ
croyez;kRwaje;croire;VER;1711,99;152,54;0;6;0;0;2;VER
parles;paRl;parler;VER;1970,55;152,2;0;6;0;0;1;VER
autant;ot@;autant;ADV;152,16;152,16;1;6;6;3;2;ADV
pensé;p@se;penser;VER;1485,47;151,67;0;5;0;4;2;VER
rentre;R@tR;rentrer;VER;532,51;151,42;0;6;0;0;1;VER
voulu;vuly;vouloir;VER;5249,3;151,04;0;5;5;4;2;VER,ADJ
quatre;katR;quatre;ADJ:num;150,93;150,93;1;6;6;4;1;ADJ:num,NOM
cherche;SERS;chercher;VER;712,46;150,75;0;7;0;0;1;VER
devez;d°ve;devoir;VER;3232,57;150,16;0;5;0;0;2;VER
payer;peje;payer;VER;416,68;149,1;1;5;5;3;2;VER
pauvre;povR;pauvre;ADJ;178,03;148,93;1;6;6;4;1;ADJ,NOM
pensez;p@se;penser;VER;1485,47;148,7;0;6;0;4;2;VER
surtout;syRtu;surtout;ADV;148,66;148,66;1;7;5;5;2;ADV,NOM
seigneur;sEN9R;seigneur;NOM;153,82;147,72;1;8;8;5;2;NOM
malade;malad;malade;ADJ;158,27;147,5;1;6;6;5;2;ADJ,NOM
depuis;d°p8i;depuis;ADV;147,19;147,19;1;6;3;3;2;ADV,PRE
premier;pR2mje;premier;ADJ;376,98;146,12;1;7;7;6;2;ADJ,NOM
ferai;f°RE;faire;VER;8813,48;146,11;0;5;0;0;2;VER
minute;minyt;minute;NOM;342,28;144,83;1;6;6;5;2;NOM,VER
appelé;ap°le;appeler;VER;1165,48;144,29;0;6;6;5;3;VER,NOM
commence;kom@s;commencer;VER;436,83;143,51;0;8;0;0;2;VER
cours;kuR;cours;NOM;143,05;143,05;1;5;5;3;1;VER,NOM
prison;pRiz§;prison;NOM;147,49;142,97;1;6;6;5;2;NOM
veulent;v9l;vouloir;VER;5249,3;142,38;0;7;0;0;1;VER
boire;bwaR;boire;VER;339,05;142,15;1;5;4;4;1;NOM,VER
partout;paRtu;partout;ADV;141,94;141,94;1;7;7;5;2;ADV
ouvre;uvR;ouvrir;VER;413,32;141,45;0;5;0;0;1;VER
rendre;R@dR;rendre;VER;508,81;141,31;1;6;5;4;1;VER
celle;sEl;celle;PRO:dem;141,28;141,28;1;5;5;3;1;NOM,PRO:dem
serai;s°RE;être;VER;32236,5;140,69;0;5;0;0;2;AUX,VER
changer;S@Ze;changer;VER;411,99;140,5;1;7;7;4;2;VER
penser;p@se;penser;VER;1485,47;140,24;1;6;6;4;2;VER
laissé;lese;laisser;VER;1334,1;139,96;0;6;6;4;2;VER,NOM
occupe;okyp;occuper;VER;375,14;139,84;0;6;0;0;2;VER
compte;k§t;compte;NOM;160,95;138,88;1;6;6;3;1;NOM,VER
dernier;dERnje;dernier;ADJ;431,08;138,57;1;7;7;6;2;ADJ,NOM
drôle;dRol;drôle;ADJ;144,48;138,46;1;5;5;4;1;ADJ,NOM
regarder;R°gaRde;regarder;VER;1197,29;138,3;1;8;8;7;3;VER
mauvais;movE;mauvais;ADJ;252,69;138,04;1;7;7;4;2;ADJ,ADV,NOM
retour;R°tuR;retour;NOM;138,94;138,02;1;6;6;5;2;NOM
entendre;@t@dR;entendre;VER;728,67;137,9;1;8;7;5;2;VER
montrer;m§tRe;montrer;VER;327,33;136,2;1;7;7;5;2;VER
souvent;suv@;souvent;ADV;135,54;135,54;1;7;7;4;2;ADV
faisait;f°zE;faire;VER;8813,48;134,9;0;7;0;0;2;VER
essayer;eseje;essayer;VER;670,4;134,69;1;7;7;5;3;VER
pouvoir;puvwaR;pouvoir;VER;5524,47;134,56;1;7;4;3;2;NOM,VER
grave;gRav;grave;ADJ;142,48;134,19;1;5;5;4;1;ADJ,NOM,VER
gentil;Z@ti;gentil;ADJ;192,64;134,11;1;6;6;4;2;ADJ,NOM
sûrement;syR°m@;sûrement;ADV;133,67;133,67;1;8;5;5;3;ADV
d'autres;dotR;d'autres;ADJ:ind;133,34;133,34;1;8;4;4;1;ADJ:ind,PRO:ind
peuvent;p9v;pouvoir;VER;5524,47;133,3;0;7;0;0;1;VER
ordre;ORdR;ordre;NOM;217,25;132,5;1;5;4;4;1;NOM
allait;alE;aller;VER;9992,77;132,04;0;6;0;0;2;VER
esprit;EspRi;esprit;NOM;155,82;131,7;1;6;6;5;2;NOM
